Day,FD,GFDI,FFDI,cHaines,Date
187,3,9,29,5,2019-03-12
188,2,4,11,3,2019-03-13
189,1,2,15,5,2019-03-14
190,1,4,16,4,2019-03-15
191,1,4,9,3,2019-03-16
192,1,3,9,4,2019-03-17
193,1,2,4,4,2019-03-18
194,1,3,7,3,2019-03-19
195,1,2,9,4,2019-03-20
196,1,3,9,6,2019-03-21
197,1,2,8,6,2019-03-22
198,1,4,10,6,2019-03-23
199,2,5,13,7,2019-03-24
200,1,10,11,5,2019-03-25
201,2,3,13,4,2019-03-26
202,1,2,9,3,2019-03-27
203,1,2,9,4,2019-03-28
204,1,3,12,5,2019-03-29
205,2,6,18,5,2019-03-30
206,1,3,3,3,2019-03-31
207,1,1,4,2,2019-04-01
208,1,1,5,3,2019-04-02
209,1,1,7,4,2019-04-03
210,1,1,4,4,2019-04-04
211,1,1,4,4,2019-04-05
212,2,4,14,5,2019-04-06
213,2,3,16,6,2019-04-07
214,2,4,26,7,2019-04-08
215,1,3,12,7,2019-04-09
216,1,1,11,2,2019-04-10
217,1,1,9,3,2019-04-11
218,1,1,10,4,2019-04-12
219,2,1,13,5,2019-04-13
220,1,1,7,5,2019-04-14
221,1,1,8,6,2019-04-15
222,1,0,7,7,2019-04-16
223,1,1,11,7,2019-04-17
224,1,1,18,7,2019-04-18
225,1,0,8,6,2019-04-19
226,1,0,9,5,2019-04-20
227,1,0,8,6,2019-04-21
228,1,0,7,5,2019-04-22
229,1,0,10,5,2019-04-23
230,1,0,10,5,2019-04-24
231,1,1,8,5,2019-04-25
232,2,2,14,4,2019-04-26
233,1,1,11,4,2019-04-27
234,2,1,14,7,2019-04-28
235,1,0,9,2,2019-04-29
236,2,1,18,4,2019-04-30
237,1,1,9,4,2019-05-01
